date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:02	76320/76320	---M--	200	added ('OK')	image/jpeg	etag:%22baf862fed7f7479844365316c9d0cfc3%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a6546c72a49c2bfd2bee8e_StudioOlimpo_Loading_03bis.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a6546c72a49c2bfd2bee8e_StudioOlimpo_Loading_03bis.jpg	(from https://www.studioolimpo.it/)
13:37:02	93280/93280	---M--	200	added ('OK')	image/jpeg	etag:%228365b2c97c0f5fa05097b1d481254b75%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6edf7a0ece74ab79f80_StudioOlimpo_Loading_04.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6edf7a0ece74ab79f80_StudioOlimpo_Loading_04.jpg	(from https://www.studioolimpo.it/)
13:37:02	25107/25107	---M--	200	added ('OK')	image/jpeg	etag:%229164161419119ea60812c83ab26d40d7%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6efe6bbc30a3f266276_StudioOlimpo_Loading_05.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6efe6bbc30a3f266276_StudioOlimpo_Loading_05.jpg	(from https://www.studioolimpo.it/)
13:37:02	49692/49692	---M--	200	added ('OK')	image/jpeg	etag:%2284817d422571a04725810a75f61b2e68%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f196e5a0734b1a2481_StudioOlimpo_Loading_06.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f196e5a0734b1a2481_StudioOlimpo_Loading_06.jpg	(from https://www.studioolimpo.it/)
13:37:02	49877/49877	---M--	200	added ('OK')	image/jpeg	etag:%227ecd1b924cc52be8b75d0abaef789a15%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f37e030e62caf581b1_StudioOlimpo_Loading_07.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f37e030e62caf581b1_StudioOlimpo_Loading_07.jpg	(from https://www.studioolimpo.it/)
13:37:03	60221/60221	---M--	200	added ('OK')	image/jpeg	etag:%22925513782e35c8be39c786e2f13870b2%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f52b174c10daabfdb8_StudioOlimpo_Loading_08.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a5e6f52b174c10daabfdb8_StudioOlimpo_Loading_08.jpg	(from https://www.studioolimpo.it/)
13:37:03	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6783d77212b58244ace7036d	C:/Users/HP/Downloads/landing%20page/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8af24.js	(from https://www.studioolimpo.it/)
13:37:04	35726/35726	---MCZ	200	added ('OK')	text/javascript	etag:W/%2244b205a01348b3cd78ccdfe4568c9193%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/js/webflow.schunk.da2a71223c5dec6e.js	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/js/webflow.schunk.da2a71223c5dec6e.js	(from https://www.studioolimpo.it/)
13:37:04	1185/1185	---MCZ	200	added ('OK')	text/javascript	etag:W/%22cc842a6be7ceee60d978b6695e53878d%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/js/webflow.751e0867.fcb9e19f4949510c.js	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/js/webflow.751e0867.fcb9e19f4949510c.js	(from https://www.studioolimpo.it/)
13:37:05	787/787	---M-Z	200	added ('OK')	application/javascript	etag:W/%22313-/9UNQe+fxuNahvnKeafxaCeKfv8%22	https://cdn.jsdelivr.net/gh/lumosframework/scripts@v1.0.5/themes.js	C:/Users/HP/Downloads/landing%20page/cdn.jsdelivr.net/gh/lumosframework/scripts@v1.0.5/themes.js	(from https://www.studioolimpo.it/)
13:37:06	72214/72214	---M-Z	200	added ('OK')	application/javascript	etag:%2265a9b559-6e61%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	C:/Users/HP/Downloads/landing%20page/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	(from https://www.studioolimpo.it/)
13:37:07	43380/43380	---M-Z	200	added ('OK')	application/javascript	etag:%2265a9b559-4536%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	C:/Users/HP/Downloads/landing%20page/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	(from https://www.studioolimpo.it/)
13:37:07	7089/7089	---M-Z	200	added ('OK')	application/javascript	etag:W/%221bb1-Zt8c/PiU3u1ADq/NG8ODx6W55rc%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/CustomEase.min.js	C:/Users/HP/Downloads/landing%20page/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/CustomEase.min.js	(from https://www.studioolimpo.it/)
13:37:07	2507/2507	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-54d%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/EasePack.min.js	C:/Users/HP/Downloads/landing%20page/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/EasePack.min.js	(from https://www.studioolimpo.it/)
13:37:08	28398/28398	---M-Z	200	added ('OK')	application/javascript	etag:W/%226eee-BU2VnnBy8dZMyOpQdZ0ywDVVpdI%22	https://cdn.jsdelivr.net/npm/@barba/core@2.9.0/dist/barba.umd.min.js	C:/Users/HP/Downloads/landing%20page/cdn.jsdelivr.net/npm/@barba/core@2.9.0/dist/barba.umd.min.js	(from https://www.studioolimpo.it/)
13:37:09	13619/13619	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:55%20GMT	https://unpkg.com/lenis@1.1.9/dist/lenis.min.js	C:/Users/HP/Downloads/landing%20page/unpkg.com/lenis@1.1.9/dist/lenis.min.js	(from https://www.studioolimpo.it/)
13:37:09	11804/11804	---M-Z	200	added ('OK')	application/javascript	etag:W/%222e1c-XoZJCnvrOHenGw4jVY13TgVEmX0%22	https://cdn.jsdelivr.net/gh/timothydesign/script/split-type.js	C:/Users/HP/Downloads/landing%20page/cdn.jsdelivr.net/gh/timothydesign/script/split-type.js	(from https://www.studioolimpo.it/)
13:37:11	45651/45651	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b253-2q4Noulzf6gi2oWiJeZYwcReBrc%22	https://cdn.jsdelivr.net/gh/studioolimpo/Studio-Olimpo@v2.10/index.js	C:/Users/HP/Downloads/landing%20page/cdn.jsdelivr.net/gh/studioolimpo/Studio-Olimpo@v2.10/index.js	(from https://www.studioolimpo.it/)
13:37:12	89508/89508	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2010:01:09%20GMT	https://www.studioolimpo.it/retroscena	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/retroscena.html	(from https://www.studioolimpo.it/works)
13:37:13	84391/84391	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2010:01:22%20GMT	https://www.studioolimpo.it/scarpe-carrioli	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/scarpe-carrioli.html	(from https://www.studioolimpo.it/works)
13:37:13	85355/85355	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2010:01:34%20GMT	https://www.studioolimpo.it/controluce	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/controluce.html	(from https://www.studioolimpo.it/works)
13:37:14	79115/79115	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jun%202025%2010:19:08%20GMT	https://www.studioolimpo.it/ristorante-larcade	C:/Users/HP/Downloads/landing%20page/www.studioolimpo.it/ristorante-larcade.html	(from https://www.studioolimpo.it/works)
13:37:14	224866/224866	---M--	200	added ('OK')	image/jpeg	etag:%222c1667c0da8a86e04fe4dd47991e128a%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a39e3272943914f626025f_StudioOlimpo_Retroscena_09.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a39e3272943914f626025f_StudioOlimpo_Retroscena_09.jpg	(from https://www.studioolimpo.it/retroscena)
13:37:16	315836/315836	---M--	200	added ('OK')	image/jpeg	etag:%22f8231812a19295a25a94cadd35bad59e%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a24fd4642b0a1967f3265b_StudioOlimpo_ScarpeCarrioli_StopMotion_05_1.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a24fd4642b0a1967f3265b_StudioOlimpo_ScarpeCarrioli_StopMotion_05_1.jpg	(from https://www.studioolimpo.it/scarpe-carrioli)
13:37:16	348768/348768	---M--	200	added ('OK')	image/jpeg	etag:%221cc5ef82892de80ea08f113ce0bd5a22%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a24fd72b5352d8e0ae0d22_StudioOlimpo_ScarpeCarrioli_StopMotion_05_2.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a24fd72b5352d8e0ae0d22_StudioOlimpo_ScarpeCarrioli_StopMotion_05_2.jpg	(from https://www.studioolimpo.it/scarpe-carrioli)
13:37:17	390850/390850	---M--	200	added ('OK')	image/jpeg	etag:%228d6bbe109c1933253cdca9868761aad0%22	https://cdn.prod.website-files.com/6783d77212b58244ace7036d/67a8df9bcdd60538ebd5200c_StudioOlimpo_Controluce_04.jpg	C:/Users/HP/Downloads/landing%20page/cdn.prod.website-files.com/6783d77212b58244ace7036d/67a8df9bcdd60538ebd5200c_StudioOlimpo_Controluce_04.jpg	(from https://www.studioolimpo.it/controluce)
